name,ring,quadrant,isNew,description
VERSA,Sunset,Tyler,FALSE,"VERSA Regulation is designed for the largest regulatory licensing and enforcement challenges. Its configurable approach to setting up and maintaining business processes supports the core licensing and enforcement business functions of state agencies. VERSA Regulation manages the intricacies of approving, renewing, maintaining, and enforcing licenses in multi-board, multi-program, multi-license agencies at an enterprise level."
Incode,Evaluate,Tyler,FALSE,"Incode, an ERP product, provides market-leading budgeting, financial management, personnel, utility, and citizen services suites of applications to the small to mid-size local government market. Market differentiators for the Incode product include product integration within the ERP suites, as well as Incode court, Incode community development, ExecuTime, EnerGov, MyCivic, Tyler Parks & Rec, Tyler CAFR Statement Builder. Additional benefits include integrated paperless processes with Tyler Content Manager and Tyler Notify, robust reporting and analytics, and a web UI that is browser-independent and device-agnostic for increased mobility."
Socrata,Adopt,Tyler,FALSE,"The Socrata Connected Government Cloud (SCGC) is an integrated solution that is powered by Socrata's Data Platform. The SCGC solution includes the data platform, as well as the analytical experiences required to drive success in some of the most important programs: Open Data, Performance Management, Financial Insights, and Internal Data Sharing. Each of these experiences, as well as the data platform, are available when clients purchase SCGC."
TID-C,Evaluate,Tyler,FALSE,"Tyler Identity Citizen is Tyler's cloud-native authentication service. It provides authentication for products and applications that are cloud-native or publicly accessible to the internet but do not require authentication by a customer's identity provider, such as Active Directory.  "
TID-W,Evaluate,Tyler,FALSE,"Tyler Identity Workforce is Tyler's cloud-native authentication service. It provides authentication for products and applications that are cloud-native or publicly accessible to the internet, but require authentication by a customer's identity provider, such as Active Directory. This solution also is ideal for enterprise products deployed within Tyler's SaaS environments that need Single Sign-On (SSO) between products for a single tenant or customer, where the customer wants to maintain control of the identities in a solution such as Active Directory or in TID-W itself."
Tyler Payments,Adopt,Tyler,FALSE,"Tyler Payments makes it easy for public sector agencies to accept online and over-the-counter payments for bills, fees, tickets, and fines. All aspects of payment processing are handled with Tyler Payments, including merchant services onboarding, shopping cart, check-out, fee handling, and receipts. Fully integrated with Tyler Technologies¿ product suites, as well as third-party solutions via a public-facing enterprise portal, Tyler Payments simplifies the complexity of any payment ecosystem. Tyler Payments is accessible from any device as a cloud-based product, enabling constituents to make payments from anywhere, any time.  "
Eden,Sunset,Tyler,FALSE,The Eden ERP solution was designed to meet the accounting software needs of mid- to large-size local government agencies.
New World ERP,Sunset,Tyler,FALSE,"Tylers New World ERP product provides an easy-to-use ERP suite encompassing financials,  human capital management, utility management, and community development. It is designed to meet the needs of various public sector organizations. New World's information flows freely throughout the unified New World suite, and the solutions provide the industry's most advanced user-defined workflow to reduce paper, automate business processes, and ensure policies are always followed."
Microsoft Dynamics 365,Sunset,SAAS,FALSE,"Dynamics 365 continues Microsoft's vision of unifying people, products, and clients through digital feedback loops that are enabled by modern technologies and platforms. Microsoft is helping organizations along their digital transformation path. Dynamics 365 has ERP modules, such as finance, supply chain management, and human resources, that deliver deep public sector functionality to local government clients in the mid-market and above market segment. Underpinning and extending Microsoft's applications are capabilities such as Power BI, PowerApps, Common Data Service, and Microsoft Flow, which give users the tools to tailor their environment."
Stackshare.io,Evaluate,SAAS,FALSE,"Easily map out which 3rd party or open source libraries and SaaS solutions are being used across your engineering teams, why they're being used, and who someone should talk to about each technology. Technology mapping to Tech Radar is also done to indicate lifecycle of the tech and guide product roadmap."
