name,ring,quadrant,isNew,description
YourPassNow,Evaluate,NIC,TRUE,Your Pass Now enables the selling state passes to constituents and the validation of state passes by administrators.  Your pass now was developed by NIC and is maintained portals and the one outdoor vertical.  Your Pass Now is a park pass solution that duplicates some functionality of USeDirect. 
Acquia Drupal,Adopt,SAAS,TRUE,Acquia Drupal
Apple Business Chat,Adopt,SAAS,TRUE,Apple Business Chat
Azure Bot Services,Adopt,SAAS,TRUE,Azure Bot Services
Basecamp,Adopt,SAAS,TRUE,Basecamp
Bridge LMS,Adopt,SAAS,TRUE,Bridge LMS
Chatbot.com,Adopt,SAAS,TRUE,Chatbot.com
Confluence,Adopt,SAAS,TRUE,Confluence
Cronitor,Adopt,SAAS,TRUE,Cronitor
DataMotion,Hold,SAAS,TRUE,DataMotion
ESRI,Adopt,SAAS,TRUE,ESRI
HotJar,Adopt,SAAS,TRUE,HotJar
Jira Service Managment,Adopt,SAAS,TRUE,Jira Service Managment
LiveChat,Adopt,SAAS,TRUE,LiveChat
MapBox,Adopt,SAAS,TRUE,MapBox
MoveIT,Hold,SAAS,TRUE,MoveIT
Okta,Adopt,SAAS,TRUE,Okta
Qualtrics,Hold,SAAS,TRUE,Qualtrics
QueueIT,Adopt,SAAS,TRUE,QueueIT
SalesForce,Evaluate,SAAS,TRUE,SalesForce
Secure ID,Adopt,SAAS,TRUE,Secure ID
SendGrid,Adopt,SAAS,TRUE,SendGrid
SmartSheet,Adopt,SAAS,TRUE,SmartSheet
State Provide CMS,Adopt,SAAS,TRUE,State Provide CMS
Trumba,Adopt,SAAS,TRUE,Trumba
Twilio,Adopt,SAAS,TRUE,Twilio
UptimeRobot,Adopt,SAAS,TRUE,UptimeRobot
Zendesk,Adopt,SAAS,TRUE,Zendesk
Zoho,Adopt,SAAS,TRUE,Zoho
Cashier View,Evaluate,Tyler,TRUE,Cashier View
CAVU,Evaluate,Tyler,TRUE,CAVU
EnerGov,Evaluate,Tyler,TRUE,EnerGov
EntelliTrak,Evaluate,Tyler,TRUE,EntelliTrak
Enterprise Permitting & Licensing,Evaluate,Tyler,TRUE,Enterprise Permitting & Licensing
Incode,Evaluate,Tyler,TRUE,Incode
Socrata,Adopt,Tyler,TRUE,Socrata
TID-C,Evaluate,Tyler,TRUE,TID-C
TID-W,Evaluate,Tyler,TRUE,TID-W
Tyler Payments,Evaluate,Tyler,TRUE,EBPP solution developed and maintain byt the Tyler Payments Team
Stackshare.io,Evaluate,SAAS,TRUE,"Easily map out which 3rd party or open source libraries & SaaS solutions are being used across your engineering teams, why they're being used, and who someone should talk to about each technology. Technology mapping to Tech Radar is also done to indicate lifecycle of the tech and guide product roadmap."
Tyler Assurance,Evaluate,Tyler,TRUE,"Tyler Assurance is a Test Automation Platform that specializes in UI Test Automation. Our solution consists of our Automation Framework, Test Results Website, and our online training. https://confl.tylertech.com/display/TylerAssurance/Tyler+Assurance"
